,Platform,Year,Global_Sales,Year_mean
0,2600,1980.0,11.379999999999999,1982.1379310344828
1,2600,1981.0,35.77,1982.1379310344828
2,2600,1982.0,28.86,1982.1379310344828
3,2600,1983.0,5.83,1982.1379310344828
4,NES,1983.0,10.96,1987.1530612244899
5,2600,1984.0,0.27,1982.1379310344828
6,NES,1984.0,50.089999999999996,1987.1530612244899
7,PC,1985.0,0.03,2008.7730646871687
8,NES,1985.0,53.440000000000005,1987.1530612244899
9,DS,1985.0,0.02,2008.2011251758088
10,2600,1985.0,0.45,1982.1379310344828
11,NES,1986.0,36.41,1987.1530612244899
12,2600,1986.0,0.6599999999999999,1982.1379310344828
13,2600,1987.0,1.98,1982.1379310344828
14,NES,1987.0,19.759999999999998,1987.1530612244899
15,2600,1988.0,0.75,1982.1379310344828
16,GB,1988.0,1.43,1995.958762886598
17,PC,1988.0,0.03,2008.7730646871687
18,NES,1988.0,45.01,1987.1530612244899
19,GB,1989.0,64.98,1995.958762886598
20,NES,1989.0,7.85,1987.1530612244899
21,2600,1989.0,0.62,1982.1379310344828
22,GB,1990.0,4.89,1995.958762886598
23,NES,1990.0,15.74,1987.1530612244899
24,SNES,1990.0,26.16,1993.8451882845188
25,GB,1991.0,5.57,1995.958762886598
26,NES,1991.0,6.11,1987.1530612244899
27,SNES,1991.0,16.21,1993.8451882845188
28,NES,1992.0,1.9800000000000002,1987.1530612244899
29,SNES,1992.0,32.98,1993.8451882845188
30,PC,1992.0,3.02,2008.7730646871687
31,GB,1992.0,25.48,1995.958762886598
32,NES,1993.0,3.61,1987.1530612244899
33,SNES,1993.0,40.01,1993.8451882845188
34,PC,1994.0,12.85,2008.7730646871687
35,NES,1994.0,0.11,1987.1530612244899
36,PS,1994.0,6.0200000000000005,1998.0042052144659
37,SNES,1994.0,35.08,1993.8451882845188
38,GB,1994.0,12.17,1995.958762886598
39,GB,1995.0,3.5999999999999996,1995.958762886598
40,PC,1995.0,4.2299999999999995,2008.7730646871687
41,PS,1995.0,35.92,1998.0042052144659
42,SNES,1995.0,32.21,1993.8451882845188
43,PC,1996.0,10.59,2008.7730646871687
44,SNES,1996.0,15.93,1993.8451882845188
45,N64,1996.0,34.11,1998.5316455696202
46,PS,1996.0,94.68,1998.0042052144659
47,GB,1996.0,36.02,1995.958762886598
48,SNES,1997.0,0.99,1993.8451882845188
49,PC,1997.0,11.26,2008.7730646871687
50,PS,1997.0,136.08,1998.0042052144659
51,GB,1997.0,6.37,1995.958762886598
52,N64,1997.0,39.51,1998.5316455696202
53,PC,1998.0,3.2800000000000002,2008.7730646871687
54,GB,1998.0,26.900000000000002,1995.958762886598
55,N64,1998.0,49.28,1998.5316455696202
56,PS,1998.0,169.58,1998.0042052144659
57,SNES,1998.0,0.22000000000000003,1993.8451882845188
58,N64,1999.0,57.96,1998.5316455696202
59,PS,1999.0,144.57,1998.0042052144659
60,SNES,1999.0,0.26,1993.8451882845188
61,GB,1999.0,38.01,1995.958762886598
62,PC,1999.0,4.75,2008.7730646871687
63,PC,2000.0,4.680000000000001,2008.7730646871687
64,XB,2000.0,0.99,2003.6363636363637
65,N64,2000.0,34.01,1998.5316455696202
66,PS,2000.0,96.28,1998.0042052144659
67,PS2,2000.0,39.11,2004.5839210155148
68,GBA,2000.0,0.06,2003.2108508014796
69,GB,2000.0,19.76,1995.958762886598
70,PS2,2001.0,166.43,2004.5839210155148
71,GB,2001.0,9.24,1995.958762886598
72,GBA,2001.0,61.62,2003.2108508014796
73,GC,2001.0,26.3,2003.40036900369
74,PS,2001.0,35.52,1998.0042052144659
75,N64,2001.0,3.26,1998.5316455696202
76,XB,2001.0,22.24,2003.6363636363637
77,PC,2001.0,5.510000000000001,2008.7730646871687
78,XB,2002.0,48.15,2003.6363636363637
79,GC,2002.0,51.93,2003.40036900369
80,PC,2002.0,8.6,2008.7730646871687
81,PS,2002.0,6.6899999999999995,1998.0042052144659
82,GBA,2002.0,74.38,2003.2108508014796
83,N64,2002.0,0.08,1998.5316455696202
84,PS2,2002.0,205.4,2004.5839210155148
85,PC,2003.0,8.959999999999999,2008.7730646871687
86,GBA,2003.0,56.730000000000004,2003.2108508014796
87,PS2,2003.0,184.29,2004.5839210155148
88,GC,2003.0,50.660000000000004,2003.40036900369
89,XB,2003.0,55.160000000000004,2003.6363636363637
90,PS,2003.0,2.05,1998.0042052144659
91,XB,2004.0,65.5,2003.6363636363637
92,DS,2004.0,17.46,2008.2011251758088
93,PS2,2004.0,211.78,2004.5839210155148
94,GC,2004.0,28.89,2003.40036900369
95,GBA,2004.0,78.09,2003.2108508014796
96,PC,2004.0,10.46,2008.7730646871687
97,PSP,2004.0,7.13,2008.7218045112782
98,PS2,2005.0,160.65,2004.5839210155148
99,DS,2005.0,131.4,2008.2011251758088
100,GBA,2005.0,33.9,2003.2108508014796
101,GC,2005.0,27.8,2003.40036900369
102,X360,2005.0,8.32,2009.8825910931173
103,PSP,2005.0,44.23,2008.7218045112782
104,PC,2005.0,4.47,2008.7730646871687
105,XB,2005.0,49.17,2003.6363636363637
106,PS2,2006.0,103.42,2004.5839210155148
107,PSP,2006.0,55.85,2008.7218045112782
108,GBA,2006.0,5.35,2003.2108508014796
109,GC,2006.0,11.290000000000001,2003.40036900369
110,PS3,2006.0,21.07,2010.8197852760736
111,Wii,2006.0,137.91,2008.9627906976743
112,XB,2006.0,10.15,2003.6363636363637
113,PC,2006.0,2.97,2008.7730646871687
114,DS,2006.0,121.15,2008.2011251758088
115,X360,2006.0,51.88,2009.8825910931173
116,DS,2007.0,149.36,2008.2011251758088
117,PSP,2007.0,47.48,2008.7218045112782
118,GBA,2007.0,3.43,2003.2108508014796
119,X360,2007.0,95.84,2009.8825910931173
120,GC,2007.0,0.27,2003.40036900369
121,PS3,2007.0,73.81,2010.8197852760736
122,PS2,2007.0,76.0,2004.5839210155148
123,XB,2007.0,0.5499999999999999,2003.6363636363637
124,PC,2007.0,9.4,2008.7730646871687
125,Wii,2007.0,154.97,2008.9627906976743
126,PS2,2008.0,53.83,2004.5839210155148
127,X360,2008.0,135.76,2009.8825910931173
128,DS,2008.0,147.89,2008.2011251758088
129,PS3,2008.0,119.69,2010.8197852760736
130,Wii,2008.0,174.16,2008.9627906976743
131,PC,2008.0,12.67,2008.7730646871687
132,XB,2008.0,0.18,2003.6363636363637
133,PSP,2008.0,34.68,2008.7218045112782
134,X360,2009.0,120.85,2009.8825910931173
135,PSP,2009.0,38.07,2008.7218045112782
136,Wii,2009.0,210.44,2008.9627906976743
137,PS3,2009.0,132.34,2010.8197852760736
138,PC,2009.0,17.16,2008.7730646871687
139,DS,2009.0,121.99,2008.2011251758088
140,PS2,2009.0,26.45,2004.5839210155148
141,X360,2010.0,171.05,2009.8825910931173
142,DS,2010.0,87.98,2008.2011251758088
143,PS2,2010.0,5.63,2004.5839210155148
144,PC,2010.0,24.46,2008.7730646871687
145,PSP,2010.0,35.11,2008.7218045112782
146,Wii,2010.0,131.8,2008.9627906976743
147,PS3,2010.0,144.42,2010.8197852760736
148,X360,2011.0,145.12,2009.8825910931173
149,PC,2011.0,35.25,2008.7730646871687
150,Wii,2011.0,62.41,2008.9627906976743
151,PS2,2011.0,0.47000000000000003,2004.5839210155148
152,PS3,2011.0,159.37,2010.8197852760736
153,3DS,2011.0,62.53,2013.062
154,PSP,2011.0,17.89,2008.7218045112782
155,DS,2011.0,27.8,2008.2011251758088
156,PSV,2011.0,5.15,2014.0339805825242
157,WiiU,2012.0,17.84,2013.5944055944055
158,PSV,2012.0,18.53,2014.0339805825242
159,3DS,2012.0,51.14,2013.062
160,PC,2012.0,23.53,2008.7730646871687
161,Wii,2012.0,22.77,2008.9627906976743
162,DS,2012.0,11.64,2008.2011251758088
163,PS3,2012.0,109.49,2010.8197852760736
164,PSP,2012.0,7.72,2008.7218045112782
165,X360,2012.0,100.88,2009.8825910931173
166,PSV,2013.0,12.69,2014.0339805825242
167,PS4,2013.0,24.76,2015.0059523809523
168,WiiU,2013.0,21.84,2013.5944055944055
169,X360,2013.0,89.61,2009.8825910931173
170,PSP,2013.0,3.19,2008.7218045112782
171,PC,2013.0,12.83,2008.7730646871687
172,Wii,2013.0,9.36,2008.9627906976743
173,XOne,2013.0,18.6,2014.7887323943662
174,DS,2013.0,1.96,2008.2011251758088
175,3DS,2013.0,55.88,2013.062
176,PS3,2013.0,117.39,2010.8197852760736
177,PC,2014.0,13.39,2008.7730646871687
178,XOne,2014.0,52.43,2014.7887323943662
179,X360,2014.0,36.42,2009.8825910931173
180,DS,2014.0,0.02,2008.2011251758088
181,PS4,2014.0,98.76,2015.0059523809523
182,3DS,2014.0,43.14,2013.062
183,PSV,2014.0,14.74,2014.0339805825242
184,WiiU,2014.0,22.509999999999998,2013.5944055944055
185,Wii,2014.0,4.4399999999999995,2008.9627906976743
186,PSP,2014.0,0.24,2008.7218045112782
187,PS3,2014.0,50.96,2010.8197852760736
188,PC,2015.0,8.07,2008.7730646871687
189,WiiU,2015.0,16.38,2013.5944055944055
190,PSP,2015.0,0.12,2008.7218045112782
191,3DS,2015.0,26.99,2013.062
192,PS3,2015.0,18.22,2010.8197852760736
193,Wii,2015.0,1.55,2008.9627906976743
194,PSV,2015.0,7.1000000000000005,2014.0339805825242
195,XOne,2015.0,57.66,2014.7887323943662
196,X360,2015.0,13.05,2009.8825910931173
197,PS4,2015.0,115.3,2015.0059523809523
198,PS4,2016.0,39.25,2015.0059523809523
199,WiiU,2016.0,3.29,2013.5944055944055
200,PC,2016.0,2.6,2008.7730646871687
201,3DS,2016.0,6.6000000000000005,2013.062
202,PSV,2016.0,3.4,2014.0339805825242
203,PS3,2016.0,2.59,2010.8197852760736
204,X360,2016.0,0.8300000000000001,2009.8825910931173
205,XOne,2016.0,12.37,2014.7887323943662
206,PSV,2017.0,0.02,2014.0339805825242
207,PS4,2017.0,0.03,2015.0059523809523
208,DS,2020.0,0.29,2008.2011251758088
